	cohesion	entropy	frequency
模样	0.00130994893702	4.54657541462	314.0
左右	0.00100523696029	4.2284551575	248.0
玄奘	0.00276260052796	3.86310750975	180.0
葫芦	0.00462962962963	3.84112124338	180.0
吩咐	0.00378720634357	3.78488229089	256.0
壁厢	0.00166006413884	3.75612093178	176.0
弼马温	0.00502461033634	3.58754601446	98.0
证诗曰	0.00221238938053	3.57931235876	100.0
乾坤	0.00720046082949	3.53065654579	100.0
烦恼	0.00146627565982	3.52641142245	120.0
纷纷	0.00222222222222	3.50650258506	72.0
慈悲	0.0015625	3.50456667886	104.0
揭谛	0.0030303030303	3.42104676219	168.0
孽畜	0.00318829707427	3.39484349255	102.0
郡侯	0.00564652738566	3.3854581747	80.0
买卖	0.00120051914341	3.33450416476	74.0
猢狲	0.00804597701149	3.28784545567	112.0
毫毛	0.00106655290102	3.2122871286	220.0
奶奶	0.00356833910035	3.21064441228	66.0
容易	0.00111193476649	3.18390250082	72.0
尘埃	0.00294715447154	3.17608281466	58.0
披挂	0.00107933081489	3.17119723205	80.0
换关文	0.00124688279302	3.14330445666	96.0
战兢兢	0.001	3.1156805183	206.0
场好杀	0.00101273148148	3.11547502488	56.0
强盗	0.00112981143837	3.080476307	58.0
踪迹	0.00286069651741	3.07522054805	46.0
紧箍儿咒	0.00119200440125	3.04482048246	52.0
峥嵘	0.0238095238095	3.04452243772	42.0
刺史	0.00564236111111	3.02469555386	52.0
逍遥	0.00492424242424	3.02469555386	52.0
须臾	0.00135135135135	2.99103358667	146.0
哪吒	0.00482230149293	2.98903786638	146.0
倘或	0.00149572649573	2.97850842053	42.0
瑞霭	0.0031976744186	2.96501569326	44.0
惫懒	0.00819672131148	2.95042586374	60.0
悚惧	0.0035409035409	2.94639677324	58.0
朦胧	0.0197916666667	2.94443897917	38.0
刘洪	0.00209137709138	2.93818245469	52.0
流沙河	0.001287001287	2.936120407	56.0
喧哗	0.00961538461538	2.91249440333	42.0
巍巍	0.00323176361958	2.91249440333	42.0
宇宙	0.00714285714286	2.87147611805	38.0
驿丞	0.00256472887152	2.86266124678	84.0
罗刹	0.00123583313238	2.86200899162	164.0
魂飞魄散	0.00177462289264	2.85710283744	40.0
瑶池	0.00146853146853	2.84648038613	42.0
妈妈	0.0030487804878	2.83870864426	82.0
商量	0.00123241989271	2.83321334406	34.0
伯钦	0.00294044044044	2.82726519818	94.0
罗地网	0.00141065830721	2.8133554045	36.0
萧瑀	0.0205949656751	2.8133554045	36.0
查勘	0.00520833333333	2.8133554045	36.0
殷勤	0.00738150738151	2.79851325694	38.0
穿一领	0.00108397991785	2.79851325694	38.0
密密	0.00156157049375	2.78046636894	42.0
拽开步	0.00138408304498	2.77371797502	48.0
诚所谓	0.00221361372441	2.77258872224	32.0
褊衫	0.0178571428571	2.77258872224	32.0
狐狸	0.00501253132832	2.77258872224	32.0
朋友	0.008	2.7616257122	40.0
惠岸	0.00226704190119	2.75757070513	58.0
南赡部洲	0.00117924528302	2.75191596903	48.0
鞍辔	0.00752508361204	2.73633905111	36.0
色将晚	0.00121753246753	2.73633905111	36.0
荆棘	0.0106837606838	2.73340177781	50.0
缰绳	0.00135791881075	2.72555039583	38.0
伺候	0.00393700787402	2.71296217305	44.0
乔松	0.001875	2.7080502011	30.0
通关文牒	0.00114155251142	2.7080502011	30.0
旌旗	0.00307443365696	2.69801101984	38.0
商议	0.0045045045045	2.69801101984	38.0
碗来粗细	0.00155763239875	2.68917816652	44.0
嫂嫂	0.00558842866535	2.67011988981	34.0
峻岭	0.00120158326265	2.67011988981	34.0
琉璃	0.0147058823529	2.66506907313	46.0
凤仙郡	0.0030487804878	2.65932269771	36.0
幽冥	0.00255102040816	2.64843833455	42.0
慌了手脚	0.00110619469027	2.61563057703	30.0
蓬莱	0.00459887583035	2.58230634431	36.0
御花园	0.00108745421245	2.57962467361	38.0
苏醒	0.00341005967604	2.56659891811	32.0
功绩	0.00134575569358	2.56494935746	26.0
铜锤	0.00187969924812	2.56494935746	26.0
侍婢	0.00211038961039	2.56494935746	26.0
森森	0.00181448686312	2.56311743424	50.0
奏道万岁	0.00128360012081	2.55779386011	34.0
怠慢	0.00258937520882	2.55560845786	62.0
艳艳	0.00198373338623	2.55368155803	40.0
险峻	0.00297619047619	2.55323700299	36.0
摩昂	0.001953125	2.55323700299	36.0
响喨	0.00193584070796	2.54003630382	28.0
值功曹	0.00337937114311	2.53275753718	46.0
祭赛	0.00258541089566	2.52693272738	56.0
牵马挑担	0.00264628050573	2.52416766167	36.0
呐喊	0.00404858299595	2.51265852953	32.0
蓬元帅	0.00180627681192	2.51265852953	32.0
城隍	0.00103092783505	2.5066618125	38.0
掀翻	0.00129533678756	2.5066618125	38.0
缤纷	0.00555555555556	2.48490664979	24.0
飘飘荡荡	0.00309757356737	2.48490664979	24.0
豪杰	0.010101010101	2.48490664979	24.0
剿除	0.00231124807396	2.48490664979	24.0
包裹	0.00108499095841	2.48490664979	24.0
陈澄	0.0017825311943	2.48490664979	24.0
幌一幌	0.00186631944444	2.4670995695	86.0
犀牛	0.00106447688564	2.4665771436	42.0
龟蛇	0.00225694444444	2.45831132968	26.0
钺斧	0.00597426470588	2.45831132968	26.0
争竞	0.0021623419827	2.45831132968	26.0
崎岖	0.0357142857143	2.45831132968	26.0
排筵宴	0.00100574712644	2.44101527803	28.0
昂昂	0.001708984375	2.44101527803	28.0
漠漠	0.0060553633218	2.44101527803	28.0
甘露	0.00156772575251	2.43079132888	30.0
簇簇	0.0013696128561	2.43079132888	30.0
梆铃	0.00308641975309	2.42601513196	32.0
俯伏	0.00114942528736	2.40056312641	42.0
沐浴	0.0120320855615	2.3992042962	36.0
鹤唳	0.00484154929577	2.3978952728	22.0
亲戚	0.00110663983903	2.3978952728	22.0
赛太岁	0.00265957446809	2.3978952728	22.0
霹雳	0.0454545454545	2.3978952728	22.0
毗卢帽	0.00632183908046	2.3978952728	22.0
谨慎	0.00645539906103	2.3978952728	22.0
潺潺	0.00713436385256	2.36938211969	24.0
迭迭	0.00156087408949	2.36938211969	24.0
吆吆喝喝	0.00158227848101	2.36938211969	24.0
尾巴	0.001221001221	2.36938211969	24.0
牛贺洲	0.00168444693992	2.36938211969	24.0
防备	0.00110619469027	2.36938211969	24.0
宽阔	0.00126236061435	2.36938211969	24.0
吟吟	0.00114926987561	2.35984925216	34.0
护教伽蓝	0.00200803212851	2.3516733019	26.0
吊桶	0.00298438934803	2.3516733019	26.0
僮仆	0.0126953125	2.3516733019	26.0
弥勒	0.00178850883076	2.33937173439	32.0
鹅笼	0.00137741046832	2.31142344469	26.0
善哉善哉	0.00140056022409	2.30461938482	28.0
烘烘	0.00405624661979	2.30348849522	30.0
庙宇	0.00134770889488	2.30258509299	20.0
磷磷	0.0125	2.30258509299	20.0
鲤鱼	0.0016149870801	2.30258509299	20.0
壮丽	0.00223214285714	2.30258509299	20.0
颈项	0.00338669950739	2.2718685127	22.0
玛瑙	0.0454545454545	2.2718685127	22.0
吵闹	0.00150684931507	2.2718685127	22.0
七星剑	0.0012987012987	2.2718685127	22.0
锦襕袈裟	0.00208728652751	2.2718685127	22.0
脓包	0.00151348376445	2.2718685127	22.0
慈悯	0.00211538461538	2.2718685127	22.0
六街三市	0.00115207373272	2.2718685127	22.0
仰视	0.00298913043478	2.2718685127	22.0
思凡下界	0.00190839694656	2.2718685127	22.0
悠悠	0.00813609467456	2.2718685127	22.0
窗棂	0.00877192982456	2.2718685127	22.0
嵯峨	0.0208333333333	2.2538575896	24.0
哮吼	0.00595238095238	2.2538575896	24.0
六丁六甲	0.00115207373272	2.24679920517	40.0
混沌	0.00653594771242	2.22002532783	32.0
暴纱亭	0.00416666666667	2.21025357762	24.0
杨柳枝	0.00237906423473	2.21025357762	24.0
缭绕	0.00549450549451	2.19722457734	18.0
草还丹	0.00111524163569	2.19722457734	18.0
骁勇	0.0100446428571	2.19722457734	18.0
洗浴	0.00119236883943	2.19722457734	18.0
丝绦	0.00135135135135	2.19722457734	18.0
辉煌	0.00375939849624	2.19722457734	18.0
寂寂	0.00120935232464	2.19722457734	18.0
狡兔	0.00595238095238	2.19722457734	18.0
锁梃	0.00357142857143	2.19722457734	18.0
祷祝	0.00416666666667	2.19722457734	18.0
芍药	0.00263157894737	2.19722457734	18.0
骨软筋麻	0.00176056338028	2.19722457734	18.0
苍蝇	0.00535077288942	2.19143391054	54.0
简帖	0.0030959752322	2.1831872696	36.0
窝巢	0.002079002079	2.16395565688	20.0
鹰犬	0.00212585034014	2.16395565688	20.0
丫鬟	0.00892857142857	2.16395565688	20.0
措手不及	0.00306748466258	2.16395565688	20.0
刷洗	0.00140765765766	2.16395565688	20.0
叮咛	0.00980392156863	2.16395565688	20.0
赭黄袍	0.00806451612903	2.16395565688	20.0
雌雄	0.00210084033613	2.16395565688	20.0
章字数	0.00129198966408	2.14750778543	200.0
愈加	0.00257129499766	2.14584175259	22.0
敖顺	0.00147741663149	2.14395220064	28.0
降龙伏虎	0.00108430468962	2.13338193026	32.0
慈云寺	0.00138888888889	2.09827373953	22.0
幌金绳	0.00152608213097	2.09827373953	22.0
必迟疑	0.00124164278892	2.09814738914	26.0
孤拐	0.00130123617437	2.09635257946	32.0
陈家庄	0.00178571428571	2.09472904753	24.0
劳碌	0.00246913580247	2.07944154168	16.0
冒犯	0.00123724095268	2.07944154168	16.0
瀛洲	0.00263157894737	2.07944154168	16.0
忧虑	0.00130718954248	2.07944154168	16.0
崔巍	0.00212652844232	2.07944154168	16.0
勉强	0.00175669740887	2.07944154168	16.0
携手相搀	0.00561797752809	2.07944154168	16.0
灰烬	0.0116959064327	2.07944154168	16.0
挺挺	0.00127551020408	2.07944154168	16.0
霭霭	0.00216333153056	2.07944154168	16.0
芳菲	0.0113636363636	2.07944154168	16.0
疼痛难禁	0.00257898130239	2.07944154168	16.0
端肃	0.0018315018315	2.07944154168	16.0
灿烂	0.00345125107852	2.07944154168	16.0
辉辉	0.00123114804555	2.07944154168	16.0
踊跃	0.017094017094	2.07944154168	16.0
梳妆	0.00390625	2.07944154168	16.0
利刃	0.0010395010395	2.07944154168	16.0
黎庶	0.0042328042328	2.07944154168	16.0
茅屋	0.00121322414316	2.07944154168	16.0
御马监	0.00223214285714	2.07944154168	16.0
智慧	0.00307692307692	2.07944154168	16.0
波涛	0.00197238658777	2.07944154168	16.0
雕鞍	0.00187617260788	2.07944154168	16.0
逞英雄	0.0031746031746	2.07944154168	16.0
极乐世界	0.00190839694656	2.07944154168	16.0
反为不美	0.00308641975309	2.07944154168	16.0
招赘	0.00354609929078	2.07944154168	16.0
九头虫	0.0012539184953	2.07944154168	16.0
潜踪	0.00157109190888	2.07944154168	16.0
狂风滚滚	0.00216216216216	2.07944154168	16.0
稀烂	0.00113058224986	2.07944154168	16.0
针线	0.0014880952381	2.07944154168	16.0
飘飖	0.00298284862043	2.07944154168	16.0
巢穴	0.00317965023847	2.07944154168	16.0
困倦	0.00248447204969	2.07944154168	16.0
唿喇喇	0.00282485875706	2.07944154168	16.0
